Name,HLTB Time,Playtime,Import,Link
8BitMMO,25h 3m,1h 10m,Login,
Ace of Spades,14h 35m,36h 48m,Login,
Age of Empires II: HD Edition,67h 51m,3h 20m,Login,
Air Marty,2h 14m,2h 4m,Login,
Akane,7h 42m,--,Login,
Baba Is You (2019),23h 10m,2h 36m,Login,
Bastion,8h 10m,1h 12m,Login,
Beat Cop,9h 30m,1h 28m,Login,
Beholder,8h 31m,2h 11m,Login,
Bendy and the Ink Machine,5h 31m,--,Login,
Besiege,9h,32h 48m,Login,
Borderlands 2,51h 57m,1h 19m,Login,
Borderlands: The Pre-Sequel!,26h 53m,--,Login,
Broforce,8h 47m,55h 9m,Login,
Butcher (2016),3h 42m,6h 43m,Login,
Celeste,11h 57m,13h 13m,Login,
Counter-Strike 2,353h 7m,249h 59m,Login,
Crawl (2017),1h 36m,1h 28m,Login,
Crossing Souls,9h 4m,8h 59m,Login,
Crypt of the NecroDancer,21h 53m,7h 4m,Login,
Cuphead,15h 7m,5h 50m,Login,
Curious Expedition,11h 49m,24h 55m,Login,
Darkest Dungeon,77h 53m,107h 27m,Login,
Darkwood,26h 18m,7h 6m,Login,
DayZ,64h 6m,5h 55m,Login,
Deadbolt,7h 18m,19h 53m,Login,
Don't Escape: 4 Days to Survive,8h 48m,9h 24m,Login,
Don't Starve,48h 40m,57h 56m,Login,
Don't Starve Together,80h 47m,66h 14m,Login,
Downwell,9h 22m,8h 14m,Login,
Dropsy,5h 15m,4h 34m,Login,
Enter the Gungeon,67h 51m,154h 53m,Login,
Everhood,8h,14h 22m,Login,
FAR: Lone Sails,3h 13m,2h 59m,Login,
Fear & Hunger,15h 58m,--,Login,
Fear & Hunger 2: Termina,31h 28m,--,Login,
Figment: Journey Into the Mind,5h 31m,17m,Login,
Fran Bow,8h 13m,9h 10m,Login,
From the Depths,66h 40m,31h 37m,Login,
FTL: Faster Than Light,25h,69h 58m,Login,
Getting Over It with Bennett Foddy,9h 4m,8h 24m,Login,
Goat of Duty,18h 36m,--,Login,
Gods Will Be Watching,8h 20m,11h 20m,Login,
Graveyard Keeper,56h 47m,40h 30m,Login,
Grid 2,20h 48m,14h 48m,Login,
Gunpoint,3h 49m,2h 40m,Login,
Hotline Miami,6h 43m,18h 13m,Login,
Hotline Miami 2: Wrong Number,10h 43m,35h 45m,Login,
Inscryption,14h 37m,16h 31m,Login,
Into the Breach,13h 11m,14h 42m,Login,
Kerbal Space Program,190h 43m,303h 27m,Login,
Kindergarten,5h 15m,6h 26m,Login,
Kingdom Two Crowns,28h 18m,56h 33m,Login,
Kingdom: New Lands,21h 54m,45h 3m,Login,
LISA,14h 1m,30h 36m,Login,
Little Nightmares,4h 10m,--,Login,
Luftrausers,6h 15m,6h 20m,Login,
Mark of the Ninja: Remastered,10h 39m,--,Login,
Mindustry,32h 45m,--,Login,
Mini Metro,11h 33m,8h 4m,Login,
Mortal Kombat X,8h 3m,--,Login,
